query,complexity,target
"Sneaky scan of 192.168.100.0/24 using paranoid timing",hard,"nmap -sS -T2 192.168.100.0/24"
"Covert scan with maximum stealth on 172.16.0.0/24",hard,"nmap -sS -f -T0 --max-retries 1 172.16.0.0/24"
"Low-profile scan on 10.0.0.0/24 evading IDS",hard,"nmap -sS -T2 10.0.0.0/24"
"Mask identity when scanning 192.168.1.1",hard,"nmap --spoof-mac 0 192.168.1.1"
"Use packet fragmentation on 172.16.0.0/24",hard,"nmap -f 172.16.0.0/24"
"Use packet fragmentation on 192.168.100.0/24",hard,"nmap -f 192.168.100.0/24"
"Use multiple decoys when scanning 192.168.1.1",hard,"nmap -D RND:10 192.168.1.1"
"Scan UDP ports on 10.0.0.1 slowly",hard,"nmap -sU -T1 10.0.0.1"
"Fragment packets when scanning 10.0.0.1",hard,"nmap -f 10.0.0.1"
"Scan UDP ports on 10.0.0.1 slowly",hard,"nmap -sU -T0 10.0.0.1"
"Fragment packets when scanning 192.168.1.1",hard,"nmap -f 192.168.1.1"
"Low-profile scan on 172.16.0.0/24 evading IDS",hard,"nmap -sS -T2 172.16.0.0/24"
"Low-profile scan on 192.168.1.1 evading IDS",hard,"nmap -sS -T0 192.168.1.1"
"Decoy scan to confuse IDS on 192.168.1.0/24",hard,"nmap -D RND:10 192.168.1.0/24"
"Silent scan of 10.0.0.1 with minimal footprint",hard,"nmap -sS -T1 10.0.0.1"
"Silent scan of 192.168.100.0/24 with minimal footprint",hard,"nmap -sS -T1 192.168.100.0/24"
"Stealthy scan of 192.168.1.1 with slow timing",hard,"nmap -sS -T1 192.168.1.1"
